"Time series of 2024 BSBUNIT assessment"
"Category","Year","Abundance","Fmort","Recruitment","Catch"
"Primary",NA,"Y","Y","Y","Y"
"Description",NA,"SSB","F","Recruits (age 1)","Commercial_North+Recreational_North+Commercial_South+Recreational_South"
"Unit",NA," (mt)",""," (000s)"," (mt)"
"","1989","4573","1.764","20555",NA
"","1990","3412","2.088","39470",NA
"","1991","3169","2.27","13546",NA
"","1992","4470","1.601","18085",NA
"","1993","4293","1.911","13307",NA
"","1994","2976","1.863","36447",NA
"","1995","3656","1.78","70107",NA
"","1996","4220","3.043","55047",NA
"","1997","5272","1.928","9977",NA
"","1998","3255","1.56","17820",NA
"","1999","3062","2.062","68177",NA
"","2000","6197","1.413","99910",NA
"","2001","13651","1.312","17113",NA
"","2002","17109","1.207","41172",NA
"","2003","12735","1.273","26500",NA
"","2004","9913","1.245","14957",NA
"","2005","7311","1.644","11250",NA
"","2006","7339","1.073","34467",NA
"","2007","6133","1.324","33185",NA
"","2008","6454","1.332","41980",NA
"","2009","10152","1.045","33571",NA
"","2010","13560","1.05","24281",NA
"","2011","9434","0.752","30206",NA
"","2012","12672","1.005","81039",NA
"","2013","12972","0.879","59545",NA
"","2014","18394","0.871","24438",NA
"","2015","16825","0.908","26400",NA
"","2016","18112","1","60657",NA
"","2017","17606","1.328","34300",NA
"","2018","18532","0.934","17069",NA
"","2019","20128","1.034","42494",NA
"","2020","20789","1.025","42800",NA
"","2021","23512","1.074","28143",NA
"","2022","24680","0.888","56405",NA
"","2023","24572","0.825","60230",NA
