"Stock / Entity Name","Stock / Entity Name"
"Assessment Type","Management Track"
"Ensemble/Multimodel Approach","?"
"Asmt Year and Month","?"
"Last Data Year","2023"
"Asmt Model Category","?"
"Asmt Model Category","?"
"Model Version","?"
"Lead Lab","NEFSC"
"Point of Contact (assessment lead)","Point of Contact (assessment lead)"
"Review Result","?"
"Catch Input Data","?"
"Abundance Input Data","?"
"Biological Input Data","?"
"Size/Age Composition Input Data","?"
"Ecosystem Linkage","?"
"Fishing Mortality Estimates",""
"F Year","2023"
"Min F Estimate","0.752"
"Max F Estimate","3.043"
"Best F Estimate","0.825"
"F Basis","?"
"F Unit","F"
"Domestic Fishing Mortality Derived Management Quantities",""
"Flimit","1.071"
"Flimit Basis","?"
"FMSY","1.071"
"FMSY Basis","?"
"F target","1.071"
"F target Basis","?"
"F/Flimit","0.7703081232493"
"F/FMSY","0.77"
"F/Ftarget","0.7703081232493"
"Biomass Estimates",""
"B Year","2023"
"Min B. Estimate","2976"
"Max B. Estimate","24680"
"Best B Estimate","?"
"B Basis","SSB"
"B Unit",NA
"MSY","3649"
"MSY Unit"," (mt)"
"Domestic Biomass Derived Management Quantities",NA
"Blimit","5612.5"
"Blimit Basis","?"
"BMSY","11,225"
"BMSY Basis","?"
"B/Blimit","4.3780846325167"
"B/BMSY","2.19"
"Stock Level (relative) to BMSY","ABOVE"
