"Time series of 2024 BUTUNIT assessment"
"Category","Year","Abundance","Fmort","Recruitment","Catch"
"Primary",NA,"Y","Y","Y","Y"
"Description",NA,"SSB","F","Recruits (age 0)","comland+comdisc"
"Unit",NA," (mt)",""," (millions)"," (mt)"
"","1989","43792","0.147","8189","4635"
"","1990","88539","0.086","9155","3414"
"","1991","62984","0.12","10193","4496"
"","1992","96682","0.142","11216","7671"
"","1993","101490","0.152","10055","9978"
"","1994","87479","0.138","9521","8315"
"","1995","104112","0.066","7862","3678"
"","1996","71509","0.1","7781","4949"
"","1997","88235","0.067","9718","3582"
"","1998","67037","0.131","9449","6468"
"","1999","76628","0.249","9588","12288"
"","2000","78411","0.103","8301","5024"
"","2001","64121","0.18","6811","7713"
"","2002","65362","0.108","6943","3808"
"","2003","57492","0.101","8208","3152"
"","2004","56576","0.058","6057","2027"
"","2005","56524","0.035","6211","1218"
"","2006","57792","0.05","7214","1447"
"","2007","58161","0.026","5098","883"
"","2008","46867","0.051","9459","1428"
"","2009","61465","0.039","11327","1285"
"","2010","75268","0.032","6281","1317"
"","2011","50917","0.07","9757","2146"
"","2012","71389","0.053","5648","1636"
"","2013","48375","0.061","7954","1532"
"","2014","79843","0.232","8074","4189"
"","2015","78449","0.148","9136","2934"
"","2016","96484","0.119","5705","2731"
"","2017","58408","0.221","8383","4629"
"","2018","85429","0.121","10394","3061"
"","2019","87884","0.196","4624","5085"
"","2020","51850","0.238","7218","4977"
"","2021","70789","0.191","11092","3321"
"","2022","80873","0.176","10124","4486"
"","2023","83004","0.143","6636","4110"
