"Stock / Entity Name","Stock / Entity Name"
"Assessment Type","Management Track"
"Ensemble/Multimodel Approach","?"
"Asmt Year and Month","?"
"Last Data Year","2023"
"Asmt Model Category","?"
"Asmt Model Category","?"
"Model Version","?"
"Lead Lab","NEFSC"
"Point of Contact (assessment lead)","Point of Contact (assessment lead)"
"Review Result","?"
"Catch Input Data","?"
"Abundance Input Data","?"
"Biological Input Data","?"
"Size/Age Composition Input Data","?"
"Ecosystem Linkage","?"
"Fishing Mortality Estimates",""
"F Year","2023"
"Min F Estimate","0.026"
"Max F Estimate","0.249"
"Best F Estimate","0.143"
"F Basis","?"
"F Unit","F"
"Domestic Fishing Mortality Derived Management Quantities",""
"Flimit","5.1"
"Flimit Basis","?"
"FMSY","5.1"
"FMSY Basis","?"
"F target","5.1"
"F target Basis","?"
"F/Flimit","0.0280392156862745"
"F/FMSY","0.03"
"F/Ftarget","0.0280392156862745"
"Biomass Estimates",""
"B Year","2023"
"Min B. Estimate","43792"
"Max B. Estimate","104112"
"Best B Estimate","?"
"B Basis","SSB"
"B Unit",NA
"MSY","39,667"
"MSY Unit"," (mt)"
"Domestic Biomass Derived Management Quantities",NA
"Blimit","18718.5"
"Blimit Basis","?"
"BMSY","37,437"
"BMSY Basis","?"
"B/Blimit","4.43432967385207"
"B/BMSY","2.22"
"Stock Level (relative) to BMSY","ABOVE"
