"Time series of 2024 CODEGOM assessment"
"Category","Year","Abundance","Fmort","Recruitment","Catch"
"Primary",NA,"Y","Y","Y","Y"
"Description",NA,"SSB","F","Recruits","C.L+C.D+Rec.L+Rec.D"
"Unit",NA," (mt)",""," (000s)"," (mt)"
"","1981","3415","0.473","1018",NA
"","1982","3262","0.573","1045",NA
"","1983","3016","0.692","936",NA
"","1984","3136","0.668","1365",NA
"","1985","2950","0.96","670",NA
"","1986","2664","1.069","1289",NA
"","1987","2155","1.017","1755",NA
"","1988","2631","0.525","2628",NA
"","1989","2649","1.37","293",NA
"","1990","2590","0.947","248",NA
"","1991","1836","1.238","367",NA
"","1992","893","1.272","359",NA
"","1993","597","1.228","308",NA
"","1994","501","1.292","117",NA
"","1995","388","1.348","79",NA
"","1996","235","1.644","61",NA
"","1997","120","2.309","77",NA
"","1998","95","1.821","48",NA
"","1999","140","0.647","75",NA
"","2000","177","1.084","56",NA
"","2001","174","1.429","28",NA
"","2002","159","1.013","75",NA
"","2003","148","0.733","11",NA
"","2004","150","1.236","42",NA
"","2005","95","1.448","20",NA
"","2006","85","0.988","17",NA
"","2007","70","1.398","15",NA
"","2008","51","1.207","12",NA
"","2009","41","1.156","8",NA
"","2010","32","1.211","9",NA
"","2011","21","1.896","18",NA
"","2012","20","0.977","15",NA
"","2013","33","0.402","5",NA
"","2014","52","0.135","18",NA
"","2015","68","0.039","15",NA
"","2016","91","0.059","24",NA
"","2017","110","0.084","12",NA
"","2018","137","0.025","21",NA
"","2019","164","0.028","14",NA
"","2020","189","0.018","36",NA
"","2021","211","0.01","17",NA
"","2022","244","0.018","12",NA
"","2023","267","0.006","4",NA
