"Time series of 47 CODGB assessment"
"Category","Year","Abundance","Fmort","Recruitment","Catch"
"Primary",NA,"Y","Y","Y","Y"
"Description",NA,"SSB","F","Recruits","Year+US.Landings+US.Discards+Canadian.Landings+Canadian.Scallop.Discards+Canadian.Groundfish.Discards"
"Unit",NA," (mt)",""," (000s)"," (mt)"
"","1978","32294","0.372","7511",NA
"","1979","38302","0.399","6821",NA
"","1980","41707","0.551","5980",NA
"","1981","39225","0.558","14546",NA
"","1982","36412","0.812","5167",NA
"","1983","31786","0.801","2868",NA
"","1984","28618","0.782","8243",NA
"","1985","24889","0.967","2501",NA
"","1986","20304","0.844","12180",NA
"","1987","21247","0.907","2286",NA
"","1988","25854","0.998","4431",NA
"","1989","26355","0.631","3384",NA
"","1990","32637","0.763","3594",NA
"","1991","27907","1.072","5996",NA
"","1992","20745","1.125","1235",NA
"","1993","15236","1.291","841",NA
"","1994","11029","1.073","486",NA
"","1995","12663","0.286","386",NA
"","1996","17294","0.28","770",NA
"","1997","14110","0.514","985",NA
"","1998","12116","0.451","390",NA
"","1999","12712","0.48","721",NA
"","2000","12339","0.358","378",NA
"","2001","14098","0.514","208",NA
"","2002","15329","0.385","271",NA
"","2003","13120","0.462","113",NA
"","2004","11152","0.296","1066",NA
"","2005","11496","0.229","288",NA
"","2006","12120","0.244","563",NA
"","2007","11566","0.335","620",NA
"","2008","10445","0.303","300",NA
"","2009","9837","0.351","244",NA
"","2010","8040","0.337","259",NA
"","2011","5759","0.397","429",NA
"","2012","3643","0.428","232",NA
"","2013","4093","0.211","110",NA
"","2014","4528","0.3","498",NA
"","2015","4365","0.28","203",NA
"","2016","6519","0.182","181",NA
"","2017","9598","0.066","261",NA
"","2018","9065","0.081","660",NA
"","2019","5783","0.107","552",NA
"","2020","3984","0.137","633",NA
"","2021","3490","0.156","1114",NA
"","2022","3111","0.131","1180",NA
"","2023","2668","0.13","605",NA
