"Stock / Entity Name","Stock / Entity Name"
"Assessment Type","Management Track"
"Ensemble/Multimodel Approach","?"
"Asmt Year and Month","?"
"Last Data Year","46"
"Asmt Model Category","?"
"Asmt Model Category","?"
"Model Version","?"
"Lead Lab","NEFSC"
"Point of Contact (assessment lead)","Point of Contact (assessment lead)"
"Review Result","?"
"Catch Input Data","?"
"Abundance Input Data","?"
"Biological Input Data","?"
"Size/Age Composition Input Data","?"
"Ecosystem Linkage","?"
"Fishing Mortality Estimates",""
"F Year","2023"
"Min F Estimate","0.066"
"Max F Estimate","1.291"
"Best F Estimate","0.13"
"F Basis","?"
"F Unit","F"
"Domestic Fishing Mortality Derived Management Quantities",""
"Flimit","0.233"
"Flimit Basis","?"
"FMSY","0.233"
"FMSY Basis","?"
"F target","0.233"
"F target Basis","?"
"F/Flimit","0.55793991416309"
"F/FMSY","0.56"
"F/Ftarget","0.55793991416309"
"Biomass Estimates",""
"B Year","2023"
"Min B. Estimate","2668"
"Max B. Estimate","41707"
"Best B Estimate","?"
"B Basis","SSB"
"B Unit",NA
"MSY","1930"
"MSY Unit"," (mt)"
"Domestic Biomass Derived Management Quantities",NA
"Blimit","4145"
"Blimit Basis","?"
"BMSY","8,290"
"BMSY Basis","?"
"B/Blimit","0.643667068757539"
"B/BMSY","0.32"
"Stock Level (relative) to BMSY","ABOVE"
