"Time series of 2024 CODSNE assessment"
"Category","Year","Abundance","Fmort","Recruitment","Catch"
"Primary",NA,"Y","Y","Y","Y"
"Description",NA,"SSB","F","Recruits (age 1)","C_L+C_D+Rec_L+Rec_D"
"Unit",NA," (mt)",""," (000s)"," (mt)"
"","1981","11859","0.24","3716","2501.051087"
"","1982","12309","0.642","2100","6895.194374"
"","1983","9383","0.586","1468","4174.251373"
"","1984","7939","0.639","1130","4519.768757"
"","1985","6384","0.475","1047","2605.120454"
"","1986","5821","0.511","10331","2503.888479"
"","1987","6191","0.838","3080","4146.225744"
"","1988","9064","1.211","2028","8524.900831"
"","1989","6602","0.806","2185","4005.039095"
"","1990","5951","0.835","898","3348.013095"
"","1991","5195","0.915","1251","3342.412189"
"","1992","3820","0.828","1437","2402.124868"
"","1993","3183","1.11","1137","3274.400384"
"","1994","2381","0.684","662","1430.888759"
"","1995","2464","0.983","851","1968.360808"
"","1996","1767","0.475","369","745.8926872"
"","1997","2010","0.983","818","2389.35333"
"","1998","1313","0.594","498","721.0949197"
"","1999","1409","0.316","694","382.1470467"
"","2000","1791","1.418","348","1925.402718"
"","2001","904","0.826","164","546.0073854"
"","2002","817","0.451","181","318.6185915"
"","2003","857","1.011","267","495.9898241"
"","2004","538","0.813","666","449.609434"
"","2005","539","2.252","187","670.1237036"
"","2006","339","0.889","304","170.8969291"
"","2007","450","0.691","585","214.5265285"
"","2008","621","1.706","323","360.7005769"
"","2009","440","1.385","620","376.6869567"
"","2010","494","1.555","287","522.2626911"
"","2011","540","1.482","152","501.6026665"
"","2012","469","0.868","344","289.8272164"
"","2013","450","0.622","308","192.8304554"
"","2014","602","1.069","599","367.4976029"
"","2015","536","0.794","339","579.9695873"
"","2016","674","1.084","145","1179.940903"
"","2017","560","1.305","239","544.3539982"
"","2018","320","0.372","107","116.5701944"
"","2019","437","1.015","160","257.7269099"
"","2020","285","0.86","214","215.269648"
"","2021","252","1.115","200","227.9463888"
"","2022","217","0.591","143","142.0979513"
"","2023","289","0.975","95","278.4582375"
