"Stock / Entity Name","Stock / Entity Name"
"Assessment Type","Management Track"
"Ensemble/Multimodel Approach","?"
"Asmt Year and Month","?"
"Last Data Year","2023"
"Asmt Model Category","?"
"Asmt Model Category","?"
"Model Version","?"
"Lead Lab","NEFSC"
"Point of Contact (assessment lead)","Point of Contact (assessment lead)"
"Review Result","?"
"Catch Input Data","?"
"Abundance Input Data","?"
"Biological Input Data","?"
"Size/Age Composition Input Data","?"
"Ecosystem Linkage","?"
"Fishing Mortality Estimates",""
"F Year","2023"
"Min F Estimate","0.24"
"Max F Estimate","2.252"
"Best F Estimate","0.975"
"F Basis","?"
"F Unit","F"
"Domestic Fishing Mortality Derived Management Quantities",""
"Flimit","0.121"
"Flimit Basis","?"
"FMSY","0.121"
"FMSY Basis","?"
"F target","0.121"
"F target Basis","?"
"F/Flimit","8.05785123966942"
"F/FMSY","8.06"
"F/Ftarget","8.05785123966942"
"Biomass Estimates",""
"B Year","2023"
"Min B. Estimate","217"
"Max B. Estimate","12309"
"Best B Estimate","?"
"B Basis","SSB"
"B Unit",NA
"MSY","1317"
"MSY Unit"," (mt)"
"Domestic Biomass Derived Management Quantities",NA
"Blimit","5629"
"Blimit Basis","?"
"BMSY","11,258"
"BMSY Basis","?"
"B/Blimit","0.0513412684313377"
"B/BMSY","0.03"
"Stock Level (relative) to BMSY","ABOVE"
