"Time series of 2024 CODWGOM assessment"
"Category","Year","Abundance","Fmort","Recruitment","Catch"
"Primary",NA,"Y","Y","Y","Y"
"Description",NA,"SSB","F","Recruits (age 1)","recdisc+recland+comdisc+comland"
"Unit",NA," (mt)",""," (000s)"," (mt)"
"","1981","18961","0.65","41645","34294.8"
"","1982","23712","0.73","24769","38294.7"
"","1983","22590","0.78","25894","34959.4"
"","1984","17928","0.71","10678","26728.1"
"","1985","12351","0.99","4981","27610.3"
"","1986","10691","0.8","10264","20769.5"
"","1987","11534","0.66","11073","19483.9"
"","1988","12985","0.62","20408","22200.4"
"","1989","17846","0.81","23106","23538"
"","1990","18152","1.08","8243","32406.3"
"","1991","14247","1.21","10024","29884.9"
"","1992","12175","1.14","8363","18713"
"","1993","11535","1.11","9165","16704.8"
"","1994","12645","0.98","9288","14285.1"
"","1995","13800","0.76","4601","12425.4"
"","1996","12581","0.78","4253","12122"
"","1997","9181","0.91","7479","10326.4"
"","1998","9469","0.82","4972","9104.8"
"","1999","14934","0.51","13618","8957"
"","2000","21301","0.42","17637","11750.1"
"","2001","31719","0.41","4054","16134"
"","2002","36220","0.29","16566","12571.2"
"","2003","27440","0.3","8545","9983.9"
"","2004","21112","0.32","20269","8491.7"
"","2005","18626","0.38","6762","8479.2"
"","2006","19535","0.24","14860","5733.4"
"","2007","29131","0.24","11741","8195.1"
"","2008","28391","0.32","12940","10351.2"
"","2009","22933","0.42","9503","10708.5"
"","2010","16064","0.51","4224","10311.6"
"","2011","10288","0.76","1748","9994.9"
"","2012","4915","0.84","1894","5138.4"
"","2013","2870","0.86","762","3464.3"
"","2014","2390","0.75","1747","2423.6"
"","2015","3003","0.23","1058","902.6"
"","2016","3559","0.26","451","1252"
"","2017","3570","0.28","375","1461"
"","2018","2896","0.29","1094","1150.6"
"","2019","1993","0.38","487","942.6"
"","2020","1432","0.41","1418","724.6"
"","2021","1440","0.41","1916","786.8"
"","2022","1491","0.32","1798","640.7"
"","2023","1847","0.31","887","662.3"
