"Stock / Entity Name","Stock / Entity Name"
"Assessment Type","Management Track"
"Ensemble/Multimodel Approach","?"
"Asmt Year and Month","?"
"Last Data Year","2023"
"Asmt Model Category","?"
"Asmt Model Category","?"
"Model Version","?"
"Lead Lab","NEFSC"
"Point of Contact (assessment lead)","Point of Contact (assessment lead)"
"Review Result","?"
"Catch Input Data","?"
"Abundance Input Data","?"
"Biological Input Data","?"
"Size/Age Composition Input Data","?"
"Ecosystem Linkage","?"
"Fishing Mortality Estimates",""
"F Year","2023"
"Min F Estimate","0.23"
"Max F Estimate","1.21"
"Best F Estimate","0.31"
"F Basis","?"
"F Unit","F"
"Domestic Fishing Mortality Derived Management Quantities",""
"Flimit","0.19"
"Flimit Basis","?"
"FMSY","0.19"
"FMSY Basis","?"
"F target","0.19"
"F target Basis","?"
"F/Flimit","1.63157894736842"
"F/FMSY","1.63"
"F/Ftarget","1.63157894736842"
"Biomass Estimates",""
"B Year","2023"
"Min B. Estimate","1432"
"Max B. Estimate","36220"
"Best B Estimate","?"
"B Basis","SSB"
"B Unit",NA
"MSY","11,271"
"MSY Unit"," (mt)"
"Domestic Biomass Derived Management Quantities",NA
"Blimit","31338.5"
"Blimit Basis","?"
"BMSY","62,677"
"BMSY Basis","?"
"B/Blimit","0.058937090160665"
"B/BMSY","0.03"
"Stock Level (relative) to BMSY","ABOVE"
