"Stock / Entity Name","Stock / Entity Name"
"Assessment Type","Management Track"
"Ensemble/Multimodel Approach","?"
"Asmt Year and Month","?"
"Last Data Year","2023"
"Asmt Model Category","?"
"Asmt Model Category","?"
"Model Version","?"
"Lead Lab","NEFSC"
"Point of Contact (assessment lead)","Point of Contact (assessment lead)"
"Review Result","?"
"Catch Input Data","?"
"Abundance Input Data","?"
"Biological Input Data","?"
"Size/Age Composition Input Data","?"
"Ecosystem Linkage","?"
"Fishing Mortality Estimates",""
"F Year","2023"
"Min F Estimate","0.081"
"Max F Estimate","1.116"
"Best F Estimate","0.258"
"F Basis","?"
"F Unit","F"
"Domestic Fishing Mortality Derived Management Quantities",""
"Flimit","0.211"
"Flimit Basis","?"
"FMSY","0.211"
"FMSY Basis","?"
"F target","0.211"
"F target Basis","?"
"F/Flimit","1.22274881516588"
"F/FMSY","1.22"
"F/Ftarget","1.22274881516588"
"Biomass Estimates",""
"B Year","2023"
"Min B. Estimate","1548"
"Max B. Estimate","19487"
"Best B Estimate","?"
"B Basis","SSB"
"B Unit",NA
"MSY","775"
"MSY Unit"," (mt)"
"Domestic Biomass Derived Management Quantities",NA
"Blimit","3768.5"
"Blimit Basis","?"
"BMSY","7,537"
"BMSY Basis","?"
"B/Blimit","1.16491972933528"
"B/BMSY","0.58"
"Stock Level (relative) to BMSY","ABOVE"
