"Time series of 2024 HERUNIT assessment"
"Category","Year","Abundance","Fmort","Recruitment","Catch"
"Primary",NA,"Y","Y","Y","Y"
"Description",NA,"SSB","F","recruits (age-1)","US_Catch+Canadian_Catch"
"Unit",NA," (mt)",""," 000s"," mt"
"","1965","1008400","0.074","4847500","126282"
"","1966","1321900","0.143","3888500","220802"
"","1967","1338300","0.265","8388600","305692"
"","1968","1037500","0.444","3995100","485830"
"","1969","663050","0.482","5177700","404903"
"","1970","495870","0.52","2465100","328708"
"","1971","335290","0.812","14740000","349935"
"","1972","278500","0.804","2559000","286852"
"","1973","491040","0.777","2859700","279769"
"","1974","337810","0.716","3507500","234997"
"","1975","221160","0.897","2130400","240909"
"","1976","166510","0.564","2568100","144632"
"","1977","104650","0.591","5547000","113564"
"","1978","66180","0.684","5787300","112030"
"","1979","90616","0.46","896670","118302"
"","1980","82123","0.77","3971700","112989"
"","1981","83138","0.468","2070500","106681"
"","1982","69588","0.51","1941200","69185"
"","1983","71870","0.454","1347700","46601"
"","1984","71249","0.772","4453100","55336"
"","1985","95676","0.46","3668100","61214"
"","1986","110820","0.431","3228300","68105"
"","1987","148420","0.425","4280400","77276"
"","1988","147150","0.5","6291800","92675"
"","1989","165630","0.488","7326400","99945"
"","1990","165420","0.348","7796100","95885"
"","1991","210740","0.372","6605400","104747"
"","1992","322660","0.355","3358000","124839"
"","1993","368480","0.273","3374100","108420"
"","1994","316040","0.232","3710200","85948"
"","1995","272610","0.397","10595000","124463"
"","1996","246440","0.438","4633400","133332"
"","1997","499270","0.382","4510700","144718"
"","1998","379150","0.36","2801800","129740"
"","1999","303030","0.396","7418300","130442"
"","2000","320000","0.365","2174200","126883"
"","2001","368980","0.42","2129600","143158"
"","2002","279720","0.388","4548400","105927"
"","2003","221630","0.488","5612300","113333"
"","2004","246380","0.473","2924500","120055"
"","2005","267660","0.463","2130600","108891"
"","2006","208050","0.555","4440800","117887"
"","2007","198810","0.528","1340500","113581"
"","2008","196030","0.539","2796400","92381"
"","2009","129790","0.855","10513000","107930"
"","2010","119650","0.554","1995600","80557"
"","2011","186880","0.493","1959800","86622"
"","2012","240000","0.513","5996900","87712"
"","2013","194520","0.57","1313700","101410"
"","2014","288160","0.465","1221000","94549"
"","2015","223160","0.464","619670","81350"
"","2016","139300","0.492","314330","66729"
"","2017","96996","0.546","942400","50929"
"","2018","55824","0.793","730670","58563"
"","2019","46825","0.377","1229200","18613"
"","2020","47303","0.218","756860","14117"
"","2021","48350","0.137","364770","7865"
"","2022","87760","0.078","567500","7866"
"","2023","74977","0.194","1757800","10441"
