"Stock / Entity Name","Stock / Entity Name"
"Assessment Type","Management Track"
"Ensemble/Multimodel Approach","?"
"Asmt Year and Month","?"
"Last Data Year","2023"
"Asmt Model Category","?"
"Asmt Model Category","?"
"Model Version","?"
"Lead Lab","NEFSC"
"Point of Contact (assessment lead)","Point of Contact (assessment lead)"
"Review Result","?"
"Catch Input Data","?"
"Abundance Input Data","?"
"Biological Input Data","?"
"Size/Age Composition Input Data","?"
"Ecosystem Linkage","?"
"Fishing Mortality Estimates",""
"F Year","2024"
"Min F Estimate","0.143"
"Max F Estimate","0.272"
"Best F Estimate","0.028"
"F Basis","?"
"F Unit","F"
"Domestic Fishing Mortality Derived Management Quantities",""
"Flimit","1"
"Flimit Basis","?"
"FMSY","0.153"
"FMSY Basis","?"
"F target","1"
"F target Basis","?"
"F/Flimit","0.028"
"F/FMSY","0.181"
"F/Ftarget","0.028"
"Biomass Estimates",""
"B Year","2024"
"Min B. Estimate","1.9"
"Max B. Estimate","4.14"
"Best B Estimate","?"
"B Basis","SSB"
"B Unit",NA
"MSY",NA
"MSY Unit"," (mt)"
"Domestic Biomass Derived Management Quantities",NA
"Blimit","1"
"Blimit Basis","?"
"BMSY","1,036"
"BMSY Basis","?"
"B/Blimit","984"
"B/BMSY","0.95"
"Stock Level (relative) to BMSY","ABOVE"
