LON,LAT
-76.53,34.6
-76.45,34.66
-76.38,34.72
-76.31,34.78
-76.24,34.84
-76.16,34.9
-76.09,34.95
-76.02,35.01
-75.94,35.07
-75.87,35.13
-75.8,35.19
-75.73,35.25
-75.65,35.31
-75.58,35.37
-75.51,35.43
-75.44,35.49
-75.36,35.55
-75.29,35.61
-75.22,35.67
-75.15,35.73
-75.07,35.79
-75,35.85
-74.93,35.91
-74.86,35.97
-74.78,36.03
-74.71,36.09
-74.64,36.15
-74.56,36.21
-74.49,36.27
-74.42,36.33
-74.35,36.39
-74.27,36.45
-74.2,36.51
-74.13,36.57
-74.06,36.63
-73.98,36.69
-73.91,36.75
-73.84,36.81
-73.77,36.87
-73.69,36.93
-73.62,36.98
-73.55,37.04
-73.48,37.1
-73.4,37.16
-73.33,37.22
-73.26,37.28
-73.19,37.34
-73.11,37.4
-73.04,37.46
-72.97,37.52
-72.89,37.58
-72.82,37.64
-72.75,37.7
-72.68,37.76
-72.6,37.82
-72.53,37.88
-72.46,37.94
-72.39,38
-72.31,38.06
-72.24,38.12
-72.17,38.18
-72.1,38.24
-72.02,38.3
-71.95,38.36
-71.88,38.42
-71.81,38.48
-71.73,38.54
-71.66,38.6
-71.59,38.66
-71.51,38.72
-71.44,38.78
-71.37,38.84
-71.3,38.9
-71.22,38.95
-71.15,39.01
-71.08,39.07
-71.01,39.13
-70.93,39.19
-70.86,39.25
-70.79,39.31
-70.72,39.37
-70.64,39.43
-70.57,39.49
-70.5,39.55
-70.43,39.61
-70.35,39.67
-70.28,39.73
-70.21,39.79
-70.14,39.85
-70.06,39.91
-69.99,39.97
-69.92,40.03
-69.84,40.09
-69.77,40.15
-69.7,40.21
-69.63,40.27
-69.55,40.33
-69.48,40.39
-69.41,40.45
-69.34,40.51
-69.26,40.57
-69.19,40.63
-69.12,40.69
-69.05,40.75
-68.97,40.81
-68.9,40.87
-68.83,40.92
-68.76,40.98
-68.68,41.04
-68.61,41.1
-68.54,41.16
-68.47,41.22
-68.39,41.28
-68.32,41.34
-68.25,41.4
-68.17,41.46
-68.1,41.52
-68.03,41.58
-67.96,41.64
-67.88,41.7
-67.81,41.76
-67.74,41.82
-67.67,41.88
-67.59,41.94
-67.52,42
-67.45,42.06
-67.38,42.12
-67.3,42.18
-67.23,42.24
-67.16,42.3
-67.09,42.36
-67.01,42.42
-66.94,42.48
-66.87,42.54
-66.79,42.6
-66.72,42.66
-66.65,42.72
-66.58,42.78
-66.5,42.84
-66.43,42.89
-66.36,42.95
-66.29,43.01
-66.21,43.07
-66.14,43.13
-66.07,43.19
-66,43.25
-65.92,43.31
-65.85,43.37
-65.78,43.43
-65.71,43.49
